@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute outputs-1 {0,1,2,3}

@data
1,'2025/11/30 17:25:39:379',1,0.002047,-0.005013,-0.03193,0.103972,-0.823571,-0.061523,0.568537,-0.069238,-2.278103,1
2,'2025/11/30 17:25:39:397',1,0.002047,-0.005013,-0.03193,0.103972,-0.823571,-0.061523,0.568537,-0.069238,-2.278103,1
3,'2025/11/30 17:25:39:415',1,0.061965,0.017029,-0.041129,0.394343,-1.280276,0.102715,0.575369,-0.104437,-2.276875,1
4,'2025/11/30 17:25:39:430',1,0.061965,0.017029,-0.041129,0.394343,-1.280276,0.102715,0.575369,-0.104437,-2.276875,1
5,'2025/11/30 17:25:39:446',1,0.05162,0.019977,-0.063116,0.653143,-1.469213,0.173517,0.593815,-0.160416,-2.267958,1
6,'2025/11/30 17:25:39:463',1,0.05162,0.019977,-0.063116,0.653143,-1.469213,0.173517,0.593815,-0.160416,-2.267958,1
7,'2025/11/30 17:25:39:480',1,0.038037,0.017338,0.011953,0.366348,-0.813735,0.27975,0.612046,-0.208001,-2.254219,1
8,'2025/11/30 17:25:39:496',1,0.038037,0.017338,0.011953,0.366348,-0.813735,0.27975,0.612046,-0.208001,-2.254219,1
9,'2025/11/30 17:25:39:513',1,0.052175,0.012537,0.114708,0.006625,-0.941962,0.438185,0.614105,-0.240722,-2.240542,1
10,'2025/11/30 17:25:39:529',1,0.052175,0.012537,0.114708,0.006625,-0.941962,0.438185,0.614105,-0.240722,-2.240542,1
11,'2025/11/30 17:25:39:546',1,-0.018301,-0.009237,-0.034095,0.287762,-1.367444,0.330653,0.614143,-0.292045,-2.221962,1
12,'2025/11/30 17:25:39:563',1,-0.018301,-0.009237,-0.034095,0.287762,-1.367444,0.330653,0.614143,-0.292045,-2.221962,1
13,'2025/11/30 17:25:39:579',1,-0.013435,0.041692,0.010271,0.624042,-2.675486,0.19942,0.627059,-0.368893,-2.205656,1
14,'2025/11/30 17:25:39:598',1,-0.013435,0.041692,0.010271,0.624042,-2.675486,0.19942,0.627059,-0.368893,-2.205656,1
15,'2025/11/30 17:25:39:613',1,0.043518,0.057374,-0.064285,0.740611,-2.592146,0.260175,0.644636,-0.46632,-2.186746,1
16,'2025/11/30 17:25:39:631',1,0.043518,0.057374,-0.064285,0.740611,-2.592146,0.260175,0.644636,-0.46632,-2.186746,1
17,'2025/11/30 17:25:39:645',1,-0.047188,-0.026637,0.080817,-0.106491,-1.345748,0.15301,0.651032,-0.540335,-2.17075,1
18,'2025/11/30 17:25:39:664',1,-0.047188,-0.026637,0.080817,-0.106491,-1.345748,0.15301,0.651032,-0.540335,-2.17075,1
19,'2025/11/30 17:25:39:680',1,0.039005,-0.061141,0.079602,-0.744376,-0.922883,0.235011,0.635068,-0.576453,-2.178051,1
20,'2025/11/30 17:25:39:696',1,0.039005,-0.061141,0.079602,-0.744376,-0.922883,0.235011,0.635068,-0.576453,-2.178051,1
21,'2025/11/30 17:25:39:713',1,0.176973,-0.048977,-0.084338,-0.479981,-0.60348,0.749488,0.609438,-0.600352,-2.174714,1
22,'2025/11/30 17:25:39:729',1,0.176973,-0.048977,-0.084338,-0.479981,-0.60348,0.749488,0.609438,-0.600352,-2.174714,1
23,'2025/11/30 17:25:39:746',1,-0.056105,0.019693,-0.064141,-0.519374,0.482109,0.671442,0.582215,-0.614801,-2.1591,1
24,'2025/11/30 17:25:39:763',1,-0.056105,0.019693,-0.064141,-0.519374,0.482109,0.671442,0.582215,-0.614801,-2.1591,1
25,'2025/11/30 17:25:39:779',1,-0.072776,-0.006287,0.045681,-0.955134,0.662856,0.35611,0.550396,-0.585496,-2.163355,1
26,'2025/11/30 17:25:39:796',1,-0.072776,-0.006287,0.045681,-0.955134,0.662856,0.35611,0.550396,-0.585496,-2.163355,1
27,'2025/11/30 17:25:39:812',1,-0.077489,0.00719,-0.081476,-0.34771,-0.550759,0.022334,0.524449,-0.583511,-2.172193,1
28,'2025/11/30 17:25:39:829',1,-0.077489,0.00719,-0.081476,-0.34771,-0.550759,0.022334,0.524449,-0.583511,-2.172193,1
29,'2025/11/30 17:25:39:845',1,0.062442,0.030152,-0.205865,0.505441,-0.755945,0.177257,0.525379,-0.607207,-2.168845,1
30,'2025/11/30 17:25:39:863',1,0.062442,0.030152,-0.205865,0.505441,-0.755945,0.177257,0.525379,-0.607207,-2.168845,1
