@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute drumOut-1 numeric

@data
367,'2025/12/01 11:22:10:985',2,0.018109,0.018741,-0.018033,0.122333,-0.289287,-0.060527,0.790553,-0.395578,2.505336,0.25
368,'2025/12/01 11:22:11:001',2,0.052378,0.020856,-0.01339,0.158879,-0.310869,0.120821,0.794195,-0.407056,2.508841,0.25
369,'2025/12/01 11:22:11:015',2,0.052378,0.020856,-0.01339,0.158879,-0.310869,0.120821,0.794195,-0.407056,2.508841,0.25
370,'2025/12/01 11:22:11:034',2,0.052378,0.020856,-0.01339,0.158879,-0.310869,0.120821,0.794195,-0.407056,2.508841,0.25
371,'2025/12/01 11:22:11:049',2,0.052378,0.020856,-0.01339,0.158879,-0.310869,0.120821,0.794195,-0.407056,2.508841,0.25
372,'2025/12/01 11:22:11:067',2,0.006368,0.010748,0.022574,0.151493,-0.461462,0.163364,0.797107,-0.427734,2.51944,0.25
373,'2025/12/01 11:22:11:083',2,0.039357,0.002337,-0.013442,0.465107,-1.244506,0.10162,0.810205,-0.496049,2.540121,0.25
374,'2025/12/01 11:22:11:099',2,0.039357,0.002337,-0.013442,0.465107,-1.244506,0.10162,0.810205,-0.496049,2.540121,0.25
375,'2025/12/01 11:22:11:117',2,0.071139,0.016185,-0.005867,0.579111,-1.852971,0.21439,0.821127,-0.553156,2.557749,0.25
376,'2025/12/01 11:22:11:134',2,0.071139,0.016185,-0.005867,0.579111,-1.852971,0.21439,0.821127,-0.553156,2.557749,0.25
377,'2025/12/01 11:22:11:149',2,0.032378,0.041254,-0.098533,1.136239,-2.925686,0.252762,0.840564,-0.667066,2.59326,0.25
378,'2025/12/01 11:22:11:167',2,0.032378,0.041254,-0.098533,1.136239,-2.925686,0.252762,0.840564,-0.667066,2.59326,0.25
379,'2025/12/01 11:22:11:184',2,0.032378,0.041254,-0.098533,1.136239,-2.925686,0.252762,0.840564,-0.667066,2.59326,0.25
380,'2025/12/01 11:22:11:201',2,0.150384,0.063539,-0.267053,1.834089,-2.96164,0.673582,0.867072,-0.820508,2.660242,0.25
381,'2025/12/01 11:22:11:218',2,0.150384,0.063539,-0.267053,1.834089,-2.96164,0.673582,0.867072,-0.820508,2.660242,0.25
382,'2025/12/01 11:22:11:234',2,0.150384,0.063539,-0.267053,1.834089,-2.96164,0.673582,0.867072,-0.820508,2.660242,0.25
383,'2025/12/01 11:22:11:251',2,0.150384,0.063539,-0.267053,1.834089,-2.96164,0.673582,0.867072,-0.820508,2.660242,0.25
384,'2025/12/01 11:22:11:268',2,0.150384,0.063539,-0.267053,1.834089,-2.96164,0.673582,0.867072,-0.820508,2.660242,0.25
385,'2025/12/01 11:22:11:283',2,0.150384,0.063539,-0.267053,1.834089,-2.96164,0.673582,0.867072,-0.820508,2.660242,0.25
386,'2025/12/01 11:22:11:302',2,0.150384,0.063539,-0.267053,1.834089,-2.96164,0.673582,0.867072,-0.820508,2.660242,0.25
387,'2025/12/01 11:22:11:317',2,0.150384,0.063539,-0.267053,1.834089,-2.96164,0.673582,0.867072,-0.820508,2.660242,0.25
388,'2025/12/01 11:22:11:336',2,0.150384,0.063539,-0.267053,1.834089,-2.96164,0.673582,0.867072,-0.820508,2.660242,0.25
389,'2025/12/01 11:22:11:351',2,0.150384,0.063539,-0.267053,1.834089,-2.96164,0.673582,0.867072,-0.820508,2.660242,0.25
390,'2025/12/01 11:22:11:366',2,0.150384,0.063539,-0.267053,1.834089,-2.96164,0.673582,0.867072,-0.820508,2.660242,0.25
391,'2025/12/01 11:22:11:382',2,0.150384,0.063539,-0.267053,1.834089,-2.96164,0.673582,0.867072,-0.820508,2.660242,0.25
392,'2025/12/01 11:22:11:403',2,0.150384,0.063539,-0.267053,1.834089,-2.96164,0.673582,0.867072,-0.820508,2.660242,0.25
393,'2025/12/01 11:22:11:416',2,0.150384,0.063539,-0.267053,1.834089,-2.96164,0.673582,0.867072,-0.820508,2.660242,0.25
394,'2025/12/01 11:22:11:433',2,0.150384,0.063539,-0.267053,1.834089,-2.96164,0.673582,0.867072,-0.820508,2.660242,0.25
395,'2025/12/01 11:22:11:451',2,0.150384,0.063539,-0.267053,1.834089,-2.96164,0.673582,0.867072,-0.820508,2.660242,0.25
396,'2025/12/01 11:22:11:467',2,0.150384,0.063539,-0.267053,1.834089,-2.96164,0.673582,0.867072,-0.820508,2.660242,0.25
397,'2025/12/01 11:22:11:485',2,0.150384,0.063539,-0.267053,1.834089,-2.96164,0.673582,0.867072,-0.820508,2.660242,0.25
398,'2025/12/01 11:22:11:501',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
399,'2025/12/01 11:22:11:517',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
400,'2025/12/01 11:22:11:534',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
401,'2025/12/01 11:22:11:551',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
402,'2025/12/01 11:22:11:567',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
403,'2025/12/01 11:22:11:584',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
404,'2025/12/01 11:22:11:601',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
405,'2025/12/01 11:22:11:615',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
406,'2025/12/01 11:22:11:634',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
407,'2025/12/01 11:22:11:651',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
408,'2025/12/01 11:22:11:666',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
409,'2025/12/01 11:22:11:684',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
410,'2025/12/01 11:22:11:701',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
411,'2025/12/01 11:22:11:717',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
412,'2025/12/01 11:22:11:734',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
413,'2025/12/01 11:22:11:751',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
414,'2025/12/01 11:22:11:767',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
415,'2025/12/01 11:22:11:785',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
416,'2025/12/01 11:22:11:802',2,-0.565986,-0.065392,-0.346722,5.122908,-5.405567,-2.545449,1.035524,-1.546675,-3.12762,0.25
