@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute vocalOut-1 {0,1,2,3}

@data
3428,'2025/11/30 21:31:24:132',6,12.762107,1.058654,2.730046,8.090477,3
3429,'2025/11/30 21:31:24:149',6,12.797091,1.117507,2.55855,8.039824,3
3430,'2025/11/30 21:31:24:165',6,12.797091,1.117507,2.55855,8.039824,3
3431,'2025/11/30 21:31:24:182',6,12.639238,1.10408,2.724607,7.77926,3
3432,'2025/11/30 21:31:24:198',6,12.639238,1.10408,2.724607,7.77926,3
3433,'2025/11/30 21:31:24:215',6,12.602545,1.108066,2.748712,7.609811,3
3434,'2025/11/30 21:31:24:231',6,12.602545,1.108066,2.748712,7.609811,3
3435,'2025/11/30 21:31:24:249',6,12.376049,1.148491,2.81827,7.552956,3
3436,'2025/11/30 21:31:24:263',6,12.376049,1.148491,2.81827,7.552956,3
3437,'2025/11/30 21:31:24:283',6,12.007342,1.258717,2.928216,7.448461,3
3438,'2025/11/30 21:31:24:299',6,12.007342,1.258717,2.928216,7.448461,3
3439,'2025/11/30 21:31:24:315',6,11.491549,1.703687,2.926279,7.494678,3
3440,'2025/11/30 21:31:24:330',6,11.491549,1.703687,2.926279,7.494678,3
3441,'2025/11/30 21:31:24:348',6,11.005342,2.267623,2.992766,7.570388,3
3442,'2025/11/30 21:31:24:367',6,11.005342,2.267623,2.992766,7.570388,3
3443,'2025/11/30 21:31:24:381',6,11.005342,2.267623,2.992766,7.570388,3
3444,'2025/11/30 21:31:24:399',6,10.863534,2.990238,2.961141,7.609264,3
3445,'2025/11/30 21:31:24:415',6,10.863534,2.990238,2.961141,7.609264,3
3446,'2025/11/30 21:31:24:430',6,11.253171,3.045477,2.95681,7.643771,3
3447,'2025/11/30 21:31:24:448',6,11.237288,3.031769,3.019164,7.649178,3
3448,'2025/11/30 21:31:24:463',6,11.237288,3.031769,3.019164,7.649178,3
3449,'2025/11/30 21:31:24:481',6,10.980551,3.11811,2.954492,7.619411,3
3450,'2025/11/30 21:31:24:498',6,10.980551,3.11811,2.954492,7.619411,3
3451,'2025/11/30 21:31:24:514',6,10.841139,3.76216,2.934437,7.539629,3
3452,'2025/11/30 21:31:24:532',6,10.841139,3.76216,2.934437,7.539629,3
3453,'2025/11/30 21:31:24:547',6,10.841139,3.76216,2.934437,7.539629,3
3454,'2025/11/30 21:31:24:565',6,10.491653,3.899553,2.900977,7.649497,3
3455,'2025/11/30 21:31:24:580',6,10.491653,3.899553,2.900977,7.649497,3
3456,'2025/11/30 21:31:24:597',6,10.562635,4.502596,2.834346,7.628044,3
3457,'2025/11/30 21:31:24:613',6,10.562635,4.502596,2.834346,7.628044,3
3458,'2025/11/30 21:31:24:632',6,10.685848,5.258486,2.774082,7.684313,3
3459,'2025/11/30 21:31:24:650',6,10.578551,6.861218,2.646657,7.679096,3
3460,'2025/11/30 21:31:24:663',6,10.578551,6.861218,2.646657,7.679096,3
