@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2}
@attribute outputs-2 numeric

@data
1,'2025/12/01 21:02:27:393',1,12.857793,1.018705,2.772197,7.671668,1,0
2,'2025/12/01 21:02:27:410',1,12.857793,1.018705,2.772197,7.671668,1,0
3,'2025/12/01 21:02:27:426',1,12.808951,1.04262,2.849001,7.522787,1,0
4,'2025/12/01 21:02:27:443',1,12.808951,1.04262,2.849001,7.522787,1,0
5,'2025/12/01 21:02:27:459',1,12.866222,1.040883,2.808226,7.466901,1,0
6,'2025/12/01 21:02:27:477',1,12.866222,1.040883,2.808226,7.466901,1,0
7,'2025/12/01 21:02:27:492',1,12.864864,1.056827,2.948722,7.400132,1,0
8,'2025/12/01 21:02:27:512',1,12.836823,1.030656,3.008246,7.332462,1,0
9,'2025/12/01 21:02:27:527',1,12.836823,1.030656,3.008246,7.332462,1,0
10,'2025/12/01 21:02:27:544',1,12.836823,1.030656,3.008246,7.332462,1,0
11,'2025/12/01 21:02:27:562',1,12.713274,1.00091,2.993975,7.346862,1,0
12,'2025/12/01 21:02:27:579',1,12.713274,1.00091,2.993975,7.346862,1,0
13,'2025/12/01 21:02:27:593',1,12.69163,1.013314,3.133052,7.24738,1,0
14,'2025/12/01 21:02:27:612',1,12.720029,1.006438,3.083927,7.247212,1,0
15,'2025/12/01 21:02:27:626',1,12.720029,1.006438,3.083927,7.247212,1,0
16,'2025/12/01 21:02:27:643',1,12.720029,1.006438,3.083927,7.247212,1,0
17,'2025/12/01 21:02:27:660',1,12.698298,1.01678,3.124467,7.212588,1,0
18,'2025/12/01 21:02:27:676',1,12.698298,1.01678,3.124467,7.212588,1,0
19,'2025/12/01 21:02:27:692',1,12.70217,0.996427,3.117824,7.22755,1,0
20,'2025/12/01 21:02:27:709',1,12.70217,0.996427,3.117824,7.22755,1,0
21,'2025/12/01 21:02:27:727',1,12.679532,0.980295,3.082509,7.229837,1,0
22,'2025/12/01 21:02:27:743',1,12.679532,0.980295,3.082509,7.229837,1,0
23,'2025/12/01 21:02:27:761',1,12.67052,0.967723,3.134541,7.205368,1,0
24,'2025/12/01 21:02:27:778',1,12.679836,0.978482,3.122427,7.225434,1,0
25,'2025/12/01 21:02:27:792',1,12.679836,0.978482,3.122427,7.225434,1,0
26,'2025/12/01 21:02:27:811',1,12.662748,0.954522,3.144528,7.242761,1,0
27,'2025/12/01 21:02:27:826',1,12.662748,0.954522,3.144528,7.242761,1,0
28,'2025/12/01 21:02:27:843',1,12.662748,0.954522,3.144528,7.242761,1,0
29,'2025/12/01 21:02:27:859',1,12.601092,0.95207,3.037836,7.28379,1,0
30,'2025/12/01 21:02:27:876',1,12.601092,0.95207,3.037836,7.28379,1,0
31,'2025/12/01 21:02:27:893',1,12.621393,0.976818,3.107882,7.230775,1,0
32,'2025/12/01 21:02:27:911',1,12.621393,0.976818,3.107882,7.230775,1,0
33,'2025/12/01 21:02:27:927',1,12.613908,0.961492,3.139647,7.20185,1,0
34,'2025/12/01 21:02:27:946',1,12.613908,0.961492,3.139647,7.20185,1,0
35,'2025/12/01 21:02:27:959',1,12.581746,0.988563,3.05101,7.235923,1,0
36,'2025/12/01 21:02:27:978',1,12.637739,0.989368,3.085553,7.222216,1,0
37,'2025/12/01 21:02:27:995',1,12.637739,0.989368,3.085553,7.222216,1,0
38,'2025/12/01 21:02:28:010',1,12.637739,0.989368,3.085553,7.222216,1,0
39,'2025/12/01 21:02:28:025',1,12.624535,0.99926,3.108962,7.233941,1,0
40,'2025/12/01 21:02:28:042',1,12.624535,0.99926,3.108962,7.233941,1,0
41,'2025/12/01 21:02:28:060',1,12.640702,0.995813,3.117106,7.216681,1,0
42,'2025/12/01 21:02:28:077',1,12.63279,0.996646,3.113964,7.196463,1,0
43,'2025/12/01 21:02:28:092',1,12.63279,0.996646,3.113964,7.196463,1,0
44,'2025/12/01 21:02:28:111',1,12.572408,0.973879,3.097549,7.2072,1,0
45,'2025/12/01 21:02:28:128',1,12.572408,0.973879,3.097549,7.2072,1,0
46,'2025/12/01 21:02:28:144',1,12.559627,0.976004,3.092727,7.250871,1,0
47,'2025/12/01 21:02:28:160',1,12.559627,0.976004,3.092727,7.250871,1,0
48,'2025/12/01 21:02:28:178',1,12.597428,0.991082,3.1021,7.240835,1,0
49,'2025/12/01 21:02:28:194',1,12.597428,0.991082,3.1021,7.240835,1,0
50,'2025/12/01 21:02:28:209',1,12.597428,0.991082,3.1021,7.240835,1,0
51,'2025/12/01 21:02:28:226',1,12.613304,0.972628,3.133646,7.239769,1,0
52,'2025/12/01 21:02:28:242',1,12.613304,0.972628,3.133646,7.239769,1,0
